year,day,dayLetter,problem,properName,maxScore,avgScore,avgRatio,acCnt,acRatio,dmojLink,ojuzLink,oj code
2018,2,B,5,Highway Tolls,100,15.66,15.66%,1,0.29%,[DMOJ link](https://dmoj.ca/problem/ioi18p5),[OJ.uz link](https://oj.uz/problem/view/IOI18_highway),highway
2018,2,C,6,Meetings,100,21.71,21.71%,0,0.00%,[DMOJ link](https://dmoj.ca/problem/ioi18p6),[OJ.uz link](https://oj.uz/problem/view/IOI18_meetings),meetings
2017,1,A,1,Nowruz,100,34.51,34.51%,0,0.00%,[DMOJ link](https://dmoj.ca/problem/ioi17p1),[OJ.uz link](https://oj.uz/problem/view/IOI17_nowruz),nowruz
2017,1,B,2,Wiring,100,26.4,26.40%,45,14.42%,[DMOJ link](https://dmoj.ca/problem/ioi17p2),[OJ.uz link](https://oj.uz/problem/view/IOI17_wiring),wiring
2017,1,C,3,Toy Train,100,10.43,10.43%,4,1.28%,[DMOJ link](https://dmoj.ca/problem/ioi17p3),[OJ.uz link](https://oj.uz/problem/view/IOI17_train),train
2017,2,A,4,The Big Prize,100,54.27,54.27%,27,8.65%,[DMOJ link](https://dmoj.ca/problem/ioi17p4),[OJ.uz link](https://oj.uz/problem/view/IOI17_prize),prize
2017,2,B,5,Simurgh,100,18.4,18.40%,4,1.28%,[DMOJ link](https://dmoj.ca/problem/ioi17p5),[OJ.uz link](https://oj.uz/problem/view/IOI17_simurgh),simurgh
2017,2,C,6,Ancient Books,100,26.21,26.21%,15,4.81%,[DMOJ link](https://dmoj.ca/problem/ioi17p6),[OJ.uz link](https://oj.uz/problem/view/IOI17_books),books
2016,1,A,1,Detecting Molecules,100,66.02,66.02%,159,50.96%,[DMOJ link](https://dmoj.ca/problem/ioi16p1),[OJ.uz link](https://oj.uz/problem/view/IOI16_molecules),molecules
2016,1,B,2,Roller Coaster Railroad,100,25.53,25.53%,4,1.28%,[DMOJ link](https://dmoj.ca/problem/ioi16p2),[OJ.uz link](https://oj.uz/problem/view/IOI16_railroad),railroad
2016,1,C,3,Shortcut,100,18.35,18.35%,1,0.32%,[DMOJ link](https://dmoj.ca/problem/ioi16p3),[OJ.uz link](https://oj.uz/problem/view/IOI16_shortcut),shortcut
2016,2,A,4,Paint by Number,100,63.6,63.60%,91,29.17%,[DMOJ link](https://dmoj.ca/problem/ioi16p4),[OJ.uz link](https://oj.uz/problem/view/IOI16_paint),paint
2016,2,B,5,Unscrambling a Messy Bug,100,42.16,42.16%,62,19.87%,[DMOJ link](https://dmoj.ca/problem/ioi16p5),[OJ.uz link](https://oj.uz/problem/view/IOI16_messy),messy
2016,2,C,6,Aliens,100,17.86,17.86%,1,0.32%,[DMOJ link](https://dmoj.ca/problem/ioi16p6),[OJ.uz link](https://oj.uz/problem/view/IOI16_aliens),aliens
2015,1,A,1,Boxes with Souvenirs,100,44.32,44.32%,96,29.81%,[DMOJ link](https://dmoj.ca/problem/ioi15p1),[OJ.uz link](https://oj.uz/problem/view/IOI15_boxes),boxes
2015,1,B,2,Scales,100,37.51,37.51%,9,2.80%,[DMOJ link](https://dmoj.ca/problem/ioi15p2),[OJ.uz link](https://oj.uz/problem/view/IOI15_scales),scales
2015,1,C,3,Teams,100,22.62,22.62%,14,4.35%,[DMOJ link](https://dmoj.ca/problem/ioi15p3),[OJ.uz link](https://oj.uz/problem/view/IOI15_teams),teams
2015,2,A,4,Horses,100,50.57,50.57%,117,36.34%,[DMOJ link](https://dmoj.ca/problem/ioi15p4),[OJ.uz link](https://oj.uz/problem/view/IOI15_horses),horses
2015,2,B,5,Sorting,100,47.07,47.07%,59,18.32%,[DMOJ link](https://dmoj.ca/problem/ioi15p5),[OJ.uz link](https://oj.uz/problem/view/IOI15_sorting),sorting
2015,2,C,6,Towns,100,13.42,13.42%,7,2.17%,[DMOJ link](https://dmoj.ca/problem/ioi15p6),[OJ.uz link](https://oj.uz/problem/view/IOI15_towns),towns
2014,1,A,1,Rail,100,32.71,32.71%,17,5.47%,[DMOJ link](https://dmoj.ca/problem/ioi14p1),[OJ.uz link](https://oj.uz/problem/view/IOI14_rail),rail
2014,1,B,2,Wall,100,39.76,39.76%,82,26.37%,[DMOJ link](https://dmoj.ca/problem/ioi14p2),[OJ.uz link](https://oj.uz/problem/view/IOI14_wall),wall
2014,1,C,3,Game,100,36.57,36.57%,71,22.83%,[DMOJ link](https://dmoj.ca/problem/ioi14p3),[OJ.uz link](https://oj.uz/problem/view/IOI14_game),game
2014,2,A,4,Gondola,100,64.26,64.26%,114,36.66%,[DMOJ link](https://dmoj.ca/problem/ioi14p4),[OJ.uz link](https://oj.uz/problem/view/IOI14_gondola),gondola
